Timestamp,Are you located in Israel at the moment?,What's you gender?,What's your age?,Which of the following describe best your company's industry?,What's your company's estimated ARR?,How many employees does your company has?,What's the company business model?,What's the company stage?,What's your title?,How many years do you work in your current company?,What's your seniority? ,"In addition to Product Marketing, what kind of experince do you have?",How many years of experience do you have in product marketing? ,"How many years of experience do you have in other positions except product marketing (such as marketing, products, sale, etc.) ",Which department are you part of: ,How many people does your product marketing team has?,How many product do you support as a team?,What are your main responsibilities? ,Which of the following teams do you collaborate with most frequently?,"What is your current gross salary? Please use a 5-digit number and numbers only (e.g., 35000)","Estimated total value of all compensation in addition to base salary, such as options, equity, ESPP, bonuses?",Additional workplace benefits not included in base salary,Do you feel your salary reflects your experience and role?,Do you feel the Product Marketing role is well understood and clearly defined across your organization?,Anything else you would like to add?,Which if the following AI tools you use in a daily/weekly basis? ,Which topics would you like to become better at (using AI tools)? ,Do you use AI for automation? ,"If yes, please elaborate:","Thank your your honesty and great collaboration!
Anything else you would like to add?"
12/21/2025 15:17:45,Yes,Male,40-44,Information Technology & Services,$10M–$50M,201 - 500,B2B,Mid-growth with established go-to-market team,Director of Product Marketing,2,It's my first role as PMM,Marketing,1-3,6+,Marketing,8-10,5+,"Product positioning and messaging, Customer marketing, Creating sales collateral","Product, Marketing, Sales, Sales enablement, Business Development",37000,1000,"חל״ד לגברים, חדר כושר / Freefit",8,Clear for some,,"Chat GPT, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns",No,,
12/21/2025 16:05:58,Yes,Female,40-44,Information Technology & Services,Up to $10M,51 - 200,B2B,Mid-growth with established go-to-market team,Director of Product Marketing,1,"Senior leadership (Director, VP, C-level)",Marketing,6+,6+,Marketing,5-7,1,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Upsell acceleration, Creating sales collateral, Content marketing, Website management, Storytelling, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, Sales enablement, Business Development",40000,42000,,6,Clear for some,,"Chat GPT, Gemeni","Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/21/2025 17:11:21,Yes,Male,40-44,Fintech,$250M–$500M,"501 - 1,000",B2B,Public company,Director of Product Marketing,4,"Senior leadership (Director, VP, C-level)",Marketing,6+,6+,Marketing,5-7,5+,"Product positioning and messaging, Managing product launches, Customer and market research, Upsell acceleration, Creating sales collateral, Customers retention (PLG & SLG support), Product roadmap planning, Storytelling","Product, Marketing, Sales, Customer Success, Sales enablement, Business Development",43000,60000,"חל״ד לגברים, קורסים והכשרות, ימי חופש ללא הגבלה, חדר כושר / Freefit",8,Clear for everyone,,"Claude, Chat GPT, Gemeni","Discover AI tools for better customer insights, Analyze data faster and reach better insights using AI tools",No,,
12/21/2025 22:20:14,Yes,Female,40-44,Marketing & Advertising,$250M–$500M,"1,001 - 5,000",B2B,Late growth/scale up,Director of Product Marketing,1.5,"Senior leadership (Director, VP, C-level)",Marketing,6+,1-3,Marketing,5-7,5+,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Creating sales collateral, Customers retention (PLG & SLG support)","Product, Marketing, Sales, Customer Success, Sales enablement",39500,I have no idea,"קורסים והכשרות, חדר כושר / Freefit",4,Clear for everyone,Thank you!,"Chat GPT, Gemeni","Learn how to automate repetitive tasks, Analyze data faster and reach better insights using AI tools",No,,
12/22/2025 0:23:28,Yes,Male,35-39,Fintech,$10M–$50M,51 - 200,B2C,Late growth/scale up,Director of Product Marketing,3+,"Senior leadership (Director, VP, C-level)",Marketing,6+,0-1,Marketing,8-10,5+,"Product positioning and messaging, Managing product launches, Customer marketing, Upsell acceleration, Content marketing, Onboarding customers, Storytelling","Product, Marketing, Customer Success",43000,80000ils,,6,Clear for some,,"Chat GPT, Gemeni","Learn how to automate repetitive tasks, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/22/2025 12:02:31,Yes,Female,35-39,Marketing & Advertising,$250M–$500M,"501 - 1,000",B2B,Public company,Director of Product Marketing,4,2-3 role as product marketing,Sales,6+,4-5,Product,2-4,5+,"Product positioning and messaging, Customer and market research, Product roadmap planning, Storytelling","Product, Marketing, Sales, Customer Success, Sales enablement",42000,47000,"חל״ד לגברים, קורסים והכשרות, חדר כושר / Freefit",10,Clear for some,,"Chat GPT, Canva, Notebook LM","Discover AI tools for better customer insights, Analyze data faster and reach better insights using AI tools",No,,
12/22/2025 23:15:30,Yes,Female,35-39,Computer Software,Up to $10M,11 - 50,B2B,Mid-growth with established go-to-market team,Director of Product Marketing,1 Month,"Mid-level management (lead, team lead)","Product, Consulting ",6+,1-3,Marketing,1,1,"Product positioning and messaging, Managing product launches, Customer and market research, Customer marketing, Creating sales collateral, Content marketing, Website management","Product, Marketing, Sales, Customer Success",44000,47000,,10,Clear for some,,"Chat GPT, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",No,,
12/23/2025 19:36:42,Yes,Male,35-39,Marketing & Advertising,$10M–$50M,201 - 500,B2E,Late growth/scale up,Director of Product Marketing,1,"Senior leadership (Director, VP, C-level)",Marketing,6+,6+,CEO,1,3,"Product positioning and messaging, Managing product launches, Customer and market research, Upsell acceleration, Content marketing, Website management, Customers retention (PLG & SLG support), Storytelling","Product, Marketing, Sales",47000,130000,"תקציב למשרד בבית, קורסים והכשרות, טלפון",10,Clear for everyone,,"Claude, Gemeni, Notebook LM, gamma","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Analyze data faster and reach better insights using AI tools",No,,
12/25/2025 22:47:24,Yes,Female,35-39,Pharmaceuticals,$100M–$250M,"10,000+",B2B,Public company,Director of Product Marketing,1,"Senior leadership (Director, VP, C-level)","Marketing, Sales, Customer Success / Support",6+,4-5,Marketing,2-4,5+,"Product positioning and messaging, Managing product launches, Creating sales collateral, Content marketing, Product roadmap planning, Storytelling, Reporting on product marketing success","Product, Marketing, Customer Success, Sales enablement, Delivery/operations",36500,38000,"חדר כושר / Freefit, קייטרינג",2,Clear for some,,"Claude, Chat GPT, Perplexity, Copilot","Learn how to automate repetitive tasks, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows",No,,
12/30/2025 16:23:18,Yes,Female,40-44,Information Technology & Services,Up to $10M,11 - 50,B2B,Early post-product market fit,Director of Product Marketing,2,"Senior leadership (Director, VP, C-level)",Product,6+,4-5,Marketing,1,2,"Product positioning and messaging, Managing product launches, Customer and market research, Creating sales collateral, Content marketing, Reporting on product marketing success","Product, Marketing, Sales, Customer Success, R&D",40000,40000,Cibus,8,Clear for some,,"Claude, Chat GPT, Gemeni, Notion AI, Canva, Perplexity, Notebook LM","Learn how to automate repetitive tasks, Discover AI tools for better customer insights, Speed up content creation for launches, messaging, and campaigns, Improve collaboration with product, growth, and sales using shared AI workflows, Analyze data faster and reach better insights using AI tools",Yes,,
